,title,author,category,average_rating,user_rating_count
0,What is Islam? - Part 1,Ibn Kathir,Fiqh,3.992656875834446,87.0
1,The Fundamentals of Tawheed - Part 3,Abu Ja'far al-Tahawi,Sira,3.992656875834446,63.0
2,The Fundamentals of Tawheed - Part 1,Ibn Taymiyyah,Sira,3.992656875834446,71.0
3,Tafsir Ibn Kathir - Part 2,Islamic Office,Aqeedah,3.992656875834446,69.0
4,What is Islam? - Part 1,Yasir Qadhi,Hadith,3.992656875834446,87.0
5,Simplified Fiqh - Part 3,Yasir Qadhi,Sira,3.992656875834446,80.0
6,The Sealed Nectar - Part 1,Ibn Taymiyyah,Aqeedah,3.992656875834446,87.0
7,The Sealed Nectar - Part 3,Imam Nawawi,Sira,3.992656875834446,69.0
8,Understanding the Quran - Part 2,Ibn Kathir,Tafsir,3.992656875834446,66.0
9,Islamic Belief System - Part 3,Abu Ja'far al-Tahawi,Hadith,3.992656875834446,89.0
10,What is Islam? - Part 3,Ibn Taymiyyah,Aqeedah,3.992656875834446,81.0
11,What is Islam? - Part 2,Ibn Taymiyyah,Hadith,3.992656875834446,86.0
12,Tafsir Ibn Kathir - Part 3,Abu Ja'far al-Tahawi,Hadith,3.992656875834446,65.0
13,Islamic Belief System - Part 2,Imam Nawawi,Sira,3.992656875834446,74.0
14,Understanding the Quran - Part 3,Ibn Kathir,Fiqh,3.992656875834446,95.0
15,Understanding the Quran - Part 1,Safī-ur-Rahmān al-Mubārakfūrī,Fiqh,3.992656875834446,88.0
16,The Fundamentals of Tawheed - Part 1,Safī-ur-Rahmān al-Mubārakfūrī,Aqeedah,3.992656875834446,71.0
17,Hadith for Beginners - Part 2,Abu Ja'far al-Tahawi,Fiqh,3.992656875834446,74.0
18,The Fundamentals of Tawheed - Part 1,Ibn Kathir,Sira,3.992656875834446,71.0
19,Fiqh Made Easy - Part 2,Safī-ur-Rahmān al-Mubārakfūrī,Sira,3.992656875834446,87.0
20,Simplified Fiqh - Part 1,Safī-ur-Rahmān al-Mubārakfūrī,Fiqh,3.992656875834446,97.0
21,What is Islam? - Part 3,Yasir Qadhi,Sira,3.992656875834446,81.0
22,Understanding the Quran - Part 1,Dr. Bilal Philips,Aqeedah,3.992656875834446,88.0
23,What is Islam? - Part 1,Dr. Bilal Philips,Aqeedah,3.992656875834446,87.0
24,Stories of the Prophets - Part 3,Islamic Office,Fiqh,3.992656875834446,95.0
25,Stories of the Prophets - Part 2,Nouman Ali Khan,Hadith,3.992656875834446,79.0
26,The Sealed Nectar - Part 3,Abu Ja'far al-Tahawi,Hadith,3.992656875834446,83.0
27,Understanding the Quran - Part 3,Imam Nawawi,Aqeedah,3.992656875834446,95.0
28,Aqeedah at-Tahawiyyah - Part 2,Abu Ja'far al-Tahawi,Hadith,3.992656875834446,78.0
29,What is Islam? - Part 3,Yasir Qadhi,Tafsir,3.992656875834446,81.0
30,Aqeedah at-Tahawiyyah - Part 1,Yasir Qadhi,Sira,3.992656875834446,93.0
31,Islamic Belief System - Part 3,Yasir Qadhi,Sira,3.992656875834446,89.0
32,Hadith for Beginners - Part 3,Dr. Bilal Philips,Aqeedah,3.992656875834446,79.0
33,Stories of the Prophets - Part 2,Islamic Office,Aqeedah,3.992656875834446,79.0
34,Hadith for Beginners - Part 2,Dr. Bilal Philips,Aqeedah,3.992656875834446,74.0
35,Fiqh Made Easy - Part 3,Islamic Office,Sira,3.992656875834446,71.0
36,Stories of the Prophets - Part 2,Safī-ur-Rahmān al-Mubārakfūrī,Aqeedah,3.992656875834446,79.0
37,Islamic Belief System - Part 2,Ibn Taymiyyah,Sira,3.992656875834446,74.0
38,The Sealed Nectar - Part 2,Ibn Kathir,Sira,3.992656875834446,69.0
39,The Sealed Nectar - Part 2,Yasir Qadhi,Hadith,3.992656875834446,63.0
40,Aqeedah at-Tahawiyyah - Part 2,Nouman Ali Khan,Fiqh,3.992656875834446,78.0
41,Simplified Fiqh - Part 3,Dr. Bilal Philips,Sira,3.992656875834446,80.0
42,Explanation of the Forty Nawawi Hadith - Part 2,Imam Nawawi,Hadith,3.992656875834446,68.0
43,Understanding the Quran - Part 1,Safī-ur-Rahmān al-Mubārakfūrī,Hadith,3.992656875834446,88.0
44,Tafsir Ibn Kathir - Part 2,Imam Nawawi,Fiqh,3.992656875834446,69.0
45,Understanding the Quran - Part 3,Ibn Kathir,Sira,3.992656875834446,95.0
46,The Sealed Nectar - Part 3,Ibn Taymiyyah,Aqeedah,3.992656875834446,83.0
47,Islamic Belief System - Part 1,Nouman Ali Khan,Tafsir,3.992656875834446,75.0
48,Stories of the Prophets - Part 2,Yasir Qadhi,Sira,3.992656875834446,79.0
49,Tafsir Ibn Kathir - Part 2,Nouman Ali Khan,Aqeedah,3.992656875834446,69.0
50,The Sealed Nectar - Part 1,Dr. Bilal Philips,Sira,3.992656875834446,59.0
51,Fiqh Made Easy - Part 3,Yasir Qadhi,Sira,3.992656875834446,71.0
52,Islamic Belief System - Part 1,Dr. Bilal Philips,Hadith,3.992656875834446,75.0
53,The Sealed Nectar - Part 2,Islamic Office,Aqeedah,3.992656875834446,63.0
54,Explanation of the Forty Nawawi Hadith - Part 3,Dr. Bilal Philips,Aqeedah,3.992656875834446,68.0
55,Stories of the Prophets - Part 1,Dr. Bilal Philips,Hadith,3.992656875834446,61.0
56,Hadith for Beginners - Part 2,Islamic Office,Aqeedah,3.992656875834446,74.0
57,Tafsir Ibn Kathir - Part 2,Ibn Kathir,Tafsir,3.992656875834446,69.0
58,The Sealed Nectar - Part 2,Imam Nawawi,Fiqh,3.992656875834446,63.0
59,The Sealed Nectar - Part 2,Safī-ur-Rahmān al-Mubārakfūrī,Aqeedah,3.992656875834446,69.0
60,The Sealed Nectar - Part 1,Ibn Taymiyyah,Hadith,3.992656875834446,87.0
61,Islamic Belief System - Part 1,Safī-ur-Rahmān al-Mubārakfūrī,Sira,3.992656875834446,75.0
62,Tafsir Ibn Kathir - Part 1,Imam Nawawi,Aqeedah,3.992656875834446,83.0
63,Explanation of the Forty Nawawi Hadith - Part 1,Ibn Kathir,Tafsir,3.992656875834446,54.0
64,The Sealed Nectar - Part 1,Safī-ur-Rahmān al-Mubārakfūrī,Sira,3.992656875834446,87.0
65,Simplified Fiqh - Part 2,Safī-ur-Rahmān al-Mubārakfūrī,Hadith,3.992656875834446,84.0
66,The Sealed Nectar - Part 3,Ibn Taymiyyah,Hadith,3.992656875834446,83.0
67,Simplified Fiqh - Part 2,Safī-ur-Rahmān al-Mubārakfūrī,Tafsir,3.992656875834446,84.0
68,Islamic Belief System - Part 2,Imam Nawawi,Tafsir,3.992656875834446,74.0
